Utterance,ContentFocus,MediaProduction,InclusiveDisposition,SocialDisposition,CollaborativeDisposition,Cross-culturalDisposition,InfoSharing,ParticipatoryTeaching,Feedback,IdeaIntroduction,KnowledgeAcquisition,Curiosity,Self-Awareness,TaskOrientation
Oh. Okay. (mumbling) Also I think he mentioned earlier that like when lifting heavy objects he wants to reduce the work needed to like reduce the objects. That's why he wants to reduce gravity. He doesn't have a prototype. He's working on it. And why do you need to use materials. And how would you make the inside anti-gravity? I think he's still researching it and his own prototype.,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Okay. (10 SECOND PAUSE) So the mic there's a quick question about why you need to use materials.,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Why do you need those materials?,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Really. That's the problem. It is in the Sway. So let me just show you. I'll answer your questions right there. (17 second pause) He can just continue. (nine second pause),0,0,0,0,0,0,0,0,0,0,0,0,0,0
You know as you're talking Lameck I'm wondering if maybe somebody here um in one of the other sites might you do a mini prototype of what you're saying like a quick video for you to incorporate into your project your project. You're saying that's very simple materials right?,1,0,0,0,0,0,0,0,1,0,0,0,0,0
I made a prototype in the video you can see.,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wow that's really cool. You think I can build a prototype right now?,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Can you? Do you have the materials? Wait...,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Right now. What makes you think that inspires you right now? Well I mean like he said you can use household items. I'm assuming you have most of them home. I didn't know you could build like some kind of gravity machine with household items. I think that's really interesting.,1,0,0,1,0,0,0,0,0,0,0,0,0,0
You know this is the introductory part that's introduced about so I use gravity to introduce about gravity first so that you not just really get the concept itself. Then now uh out of the links you can learn more about gravity from the things that are here that you can see. That now now this the antigravity part (laugh) Yeah so the objective...the objective here so the antigravity was just an idea of creating here that is free from the force of gravity. So that's all about antigravity then uh it was discovered by uh genetic illusion Podkletnov he is a Russian physicist then uh... It also been accepted by the NASA. And now as you know these are the materials that you need and their functions. So as you can see there is one glass which is best to hold the larger coin and the phone. You also need a phone to the larger coin. So those two copper coins; one; will be out of the bottle outside of the glass the other one will be inside the glass; so it's just like know then kitchen foil that is the me then uh that's just job the microwave in a way that is produced by the vibrations then uh the sticky tape that's what holds the glass together will be conducted then a phone the phone now you keep it inside the glass so inside so the glass will be the you know uh just the pressure itself will be conducted to use the microwave energy; so next you put everything you put which after you know the kitchen foil will you know like wrap it around the glass so when you wrap it around the glass now you put them at you test them. Look at this procedure yes its see uh so you stick the small pennies uh the pennies more pennies now piece of paper in the glass the larger point in the glass on the phone You put pressure on you know uh not the other way round so the impression model so that you can reduce the with chemical energy then you wrap the entire glass with kitchen foil. Then uh now you make a point-stick and wrap around the top of the bedsheets to connect then just place on the ground outside so when the spread the bedsheets around the glass you spread them equal distances them equal distances then you pay them the you know then start to dip then uh place it outside. Then the phone that is that the glass you hold it that can be you in it. Then they break. Then after some time you'll see the glass rising.,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Let me see if I can show you on Youtube. Just see if I can show you on YouTube.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Really interesting. I've never heard of this before.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ish check on the Chat window.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
So the guys at NySci you should try building this as well right?,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yeah 'cause we have a lot of materials.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Well I think I care about it like I hope like literally but like I think are outside right? Let's again do it outside.,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I mean Lameck do have to do it outside?,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lameck Did you hear that? Is there do can you do it outside? Do you have to do it. Can you do it inside?,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Outside. But outside. Well you know Inside the house will not be effective as much as it would be outside. That's why it’s recommended it outside. I would say that better experience going to get you to.,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Thank you for clarifying and good question Elaine.,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Yeah you see so too is start rising some type.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
That's for them to go to but now that's from household items but there is another setup that I need to share but I'll share it soon it to you now. See the display at the house. I didn't I just did this to make the poster come out clearly but. try them now Now the other way there's another way to get that gravity now on the larger region. As I say be up to one kilometer so it really needs a lot of you know it starts under you know setups. That's why you know...really need that,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Before you start on your one kilometer project I should probably start on a smaller scale like try making them try making like a smaller version of it and I'm like show it to us as well. We'll do you like the people at NYSCI try to build one. Once you have your set up and instructions maybe you then you can post instructions like the materials so that people at NYSCI can make one of their own right? That way you can check out if you like rises in different heights in different places. And that might be something interesting to explore as well. And once you get a prototype done so you can get other people involved to make it as well. Okay. cool. Does anyone else have any ideas or questions about the anti-gravity machine?,1,0,0,0,1,0,0,0,1,0,0,0,0,0
I agree with what Ish said. It looks like you would like labs where these kind of experiments is always better to do like a small scale because you waste of time.,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Yeah. Um Hi Zach. I do have a project something I want to talk about my question. Hi Zach.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I don't have any questions...just learning from you.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK. Cool. So does anyone they don't have anything else I feel like they have any questions and he has no one mentioned before you start closing off officially now.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I have one question. Kind of a long one. Um anitgravity because it's the force of foerces repelling each other right to create lift off of gravity creating anti-gravity. And you say you want humans that will fly in a way like birds. My question is if you're in the air how would you create the momentum to be able to move while experiencing this anti-gravity? What would You be able to move stuff over this one kilometer hypothetically or do you need more research on that? That's my question.,1,0,0,0,0,0,0,0,0,0,0,1,0,0
OK. You see now antigravity concept as I said on the uses of the importance one of them is the ability to three months to fly so that's important so that one I was saying that going another setup but not the not the one that is shared so maybe when I'm done that the other setup so I just shared it with you and now you'll see where the it does so humans the ability for months to fly comes up altogether. Yeah.,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Okay cool. Thank you for the explanation Lameck.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm looking forward to what you come up with. I think you'll be really cool.,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Yeah that sounds coolI've never seen something like that before so that sounds really interesting as well. Okay. Um. So is everyone good? Yes Danielle?,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I was just going to say for reference um I put Lameck's Sway into the agenda. So a list of materials and whatnot is in there. It's easy for anyone to kind of take a look up and explore to create a prototype he is suggesting.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okay. So um I guess this is a good meeting guys. Okay. Well thanks for showing up. Make sure you leave make sure you do reflections because they are important. Okay?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'll go ahead just because you know this might not be a familiar scenario to anyone want to go ahead and put the link to the agenda in the chat window right now.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oh we put that up already. All right.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oh you did? So everybody everybody already saw it then.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I guess some post it again to be on the safe side. Just on the safe side. All right. Cool. Thank you everyone. Danielle you staying on afterwards to talk with me?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yeah. And I just want to echo um Ish thank you. great job. And everyone please please um fill out the reflections. And I know that it's late or in some cases very early for everyone. But soon after even if it's a little bit short it's helpful because you're not going to have the same feelings that you have on if you fill it out later on. So if the moment is really ideal. Get it out of it take care of it. So I hope to see you there in typing in the reflections.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All so much for joining me this evening. And this morning. Appreciate it.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 School is great.  Uh we are doing well and uh we are happy to join the meetup and I'm looking forward to chatting more about school. As for now the exam the exams are going for tomorrow and next week and the other week. But we still do our projects in the afternoons. And yeah that's what I can say.,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 Well it's so great to have you guys on but I understand I understand that right now you have closed school and we are all happy that you are able to join the meeting and as we wait for the others to join I hope you all have fun and learn more from each other. I can see that we have a number of people. Yeah. So.,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 I guess we can start.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 I think. Yeah I think. Yeah we definitely have... I see many people on the screen so. Yeah just I guess. Yeah we can. I think we can get started. If you haven't done so already please press on the the gallery view. It's on the upper right hand side. And if you click on that you'll see everyone's pictures the same size and you'll be able to see everyone at the same time. So yeah with that I hand it over. I'll hand it over to Eunice to start the meeting.,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 OK. Thank you all for joining. I would like us to know each other first because some of us are meeting new faces today and I will start. My name is Eunice Margaret. I'm a Level 1 online facilitator and I'm a university student at Kenya Methodist University pursuing a bachelor's degree in education.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Yes I think someone else can also introduce themselves. Yeah hi.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Hi guys. I'm Christine from Saint-Aloysius Gonzaga. I'm very happy and I'm looking forward to see the projects which are you're going to share about climate change. Yeah. Ready to learn more from you guys.,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 Oh hi everyone. So I'm Collins. I'm a student--,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 I'm a student like most of us and I'm here hoping to learn more from all of you and also I hope we'll solve at least one problem or two regarding the climate change. And also we might be able to offer solutions to some of the hazards which have been caused by this climate change.,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 My name Lameck. I'm also a student at St. Aloysius and I see Danielle I'm looking forward to learning more. And also get to know what you did. What the people have done in their projects. Also I might share a little bit of what I've done of late and what I am starting to do in the near future.,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 I'm Emily Tapia from Cabrillo in Long Beach. And this is my second year in IC4 and excited to be working on this project of climate change with all of you guys.,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 Hi my name's Jennifer. I'm Cabrillo high school and this is my fourth year in IC4 and I'm excited to work with the Finish Students and other students who are interested in climate change.,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 Hi I'm AJ from Cabrillo High School. This is my fourth year in IC4 and I'm very excited to work on this project.,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 My name is Vicente Lagunas and I go to UNLV and I'm excited to work with you guys to hear your ideas.,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 But to learning more about climate change from from you.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 I guess I can go. Hi I am Seung and I am part of the IC4 research team at Pepperdine University. Good to meet you all.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Hello my name is Veera. I am from Finland. I am and I am -- how do you say -- Country leader but I am also teaching the Finnish group.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Hi. I hope you are hearing well. (Seung gives thumbs up) Yeah good. I am Elia from Finland too and I'm studying in college. It's my last year before university so I'm really excited. Yeah.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Can you hear me? Oh yeah. I'm Toivo. I am from Finland but right now I live on Svalbard and I'm a student in online school in Finland. And yeah looking forward to this.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Well if there is none else left in the introduction I'll just like to highlight some things a number of rules. If you are not supposed to be talking please have your microphone mute so that you don't distract the voice from other people. Then yeah. I think that's basically the thing. So. Today I'm very excited. We're going to talk about climate and the country too. To see and listen to their presentation that we have from the Finland students. So we'll first wait for them to finish their presentation before you have questions or even suggestions to them and help them with their class project. So I'll hand it over to I think it was to Denis to start us off.,0,0,1,0,0,0,0,0,0,0,0,0,0,1
 OK. So Elia or Toivo which one of you wants to tell them first?,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 Maybe Elia you can start. Okay.,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 Yeah. Let's see if I can do this correctly. At least I think so. (Speaking Finnish). How am I supposed to share my like you for you guys?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 You have to click on that share button that green one.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 And then show us your file.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Yeah this is mine. So I think I'm doing something about eating habits cause of course it's different here in Finland than it's in anywhere else and... Let's see if I can do this. Yeah and I think I'm doing this for health like the major seven groups of food because there are so many things that are so differently than it was before. So yeah I think I'm comparing the Finnish ones to USA and if someone wants to do it with me then I'll be glad to take it to you in mind also. And all the chains I think I'm focusing naturally on the milk about Finland cause that's been something we've taught since we're rookies that we need to drink it. And that's not to case. You don't mean to drink milk to you just need to get things that you get from milk. And there are so many alternatives nowadays. And I think I like to see where that work is going and what kind of other foods have changed. Yeah I think I have one video about it's this milk commercial and I like to use it in my presentation probably. Yeah. Yeah. There it is. Food is something that I think shows greatly what climate change can do to something that we need to deal with every day like we need to eat and climate change changes that so many ways that I once find out that different kinds of changes even more than I have already found. So yeah there are like things that I need to do in this person's case. And as you can see and the major one is using English because it's so used to me like mix English and Finnish together. So yeah I need to focus on staying in English and doing this project with someone else would actually help me a lot because then I'd have to be explaining it as well. So yeah I think that's my presentation. (Everyone makes clapping motions).,1,1,0,0,1,1,1,0,0,1,0,0,0,0
 Whoo! Thank you so much Elia. So Elia wants people who can help with the other foods with regards to climate? So we'll have that later on. So we can have the other -- the other person if there is,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 So yeah. I live here on Svalbard and I was thinking that maybe I should make a presentation about the climate change here because it has really affected this place. I live in the most northernmost city in the world. So there is a lot of things you can see seen here. That is because of climate change. And I can take pictures and stuff but I haven't really started it because I've been little busy and stuff. But yeah.,1,1,0,0,0,1,1,0,0,0,0,0,0,0
 I found Elias's project really interesting because compared to Finland we Americans are mostly fast food chains and I think we're considered just the most obese country in the world because of it (laughs).  (lot of background noise) So maybe I can add on something that's from America to your project.,1,0,0,0,1,1,0,0,0,0,0,0,0,0
 Okay. Jennifer is there something you're trying to do?,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 Oh are you trying to put on something?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Oh I was thinking of adding on what kind of foods Americans eat what Finland's eat and how like there so different. In terms of health maybe as well.,0,0,0,0,0,1,0,0,1,0,0,0,0,0
 Oh OK. Thank you. So is then yeah that presentation with regards to the same--.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Well at that point I think if the presentations are over we can have input from from all of us so that you can help in making these projects more better. Elia asked for ideas and opinions so we can have yeah some of you to give their opinions and ideas.,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 Hi everyone can you hear me? (thumbs up motions),0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Yeah we can hear you.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Ah good right. Thank you so much Elia for sharing about your exciting presentation on alternative's of milk. And also for Jennifer accepting to be part of that project. So I have a question not just to Elia but to everyone on the call. Because this project is about climate change. Why does it matter to use alternatives of milk? How does that relate to climate change? So this is a question to all of us not specifically to Elia but Elia you're most welcome to to contribute too. Thank you.,1,0,0,0,0,0,0,0,0,0,0,1,0,0
 OK so we have Zach there asking us a question. Actually it's a challenge. So any uh why is it important to use alternatives of milk with regards to climate change? So anyone please?,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 No I believe that if climate change is affecting the milk and the things we eat... Well yeah. It's something that we're gonna eat and it's going to affect our health. So we need to take action in order to reduce how climate change is affecting the things we eat.  ,1,0,0,0,0,0,1,0,0,0,0,0,0,0
 I believe that a lot of it has to do with dependency of cows and dairy farms. When cows are killed or they're consumed they release a lot of carbon emission. So if we use alternatives that can sort of get rid of the dependency of milk. So the necessity of that wouldn't be as important.,1,0,0,0,0,0,1,1,0,0,0,0,0,0
 Yeah I think that's something that we as people can do like we can't control everything but we can control our actions and not drinking milk or using dairy is just something that. Well it's I don't say it's easy but it's easier than doing something very big. But it's still make -- It still makes a difference. So I think that's why drinking alternative versions to milk would be important. And then it can like go.. Oh you can like share your cause and you can like meet other people who are vegas or are vegetarians or just interested about climate change or nature. So that's always important too.,1,0,0,0,0,0,1,0,0,0,0,0,0,0
 Yeah. So I was thinking about apart from milk was uh I thought of milk being something probably... I don't know if it's advisable to take milk during colder climate or warm so I just thinking about if it's cold we can have warm milk right? It guess warm then cold during warm times. It's advisable to take cold milk probably in the morning or in the afternoons. Then apart from milk we can probably use a type of protein food like potatoes would be advisable too. And something in like..,1,0,0,0,0,0,1,0,0,0,0,0,0,0
 Or maybe cheese? I guess so. But milk. Milk is recommended both cold and warm. Yeah.  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Well Lameck I have a question to you. You said that during cold seasons you take... Is it warm milk?,0,0,1,0,0,0,0,0,0,0,0,1,0,0
 Then during warm seasons you take cold milk. Why is it? So why should we consider that?,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 Okay. Considering that milk is a protein so protein is probably also will tend to reduce the dehydration during the warm climate. So during the warm climate having cold milk maybe you make mashed potatoes. So that's why I think potatoes would be a very good alternative. If you can't take milk because I understand that some people are probably taking cold milk in the morning kind of you know not fitting their health. So I thought of taking mashed potatoes maybe breakfast then in the evening. Probably not even dinner. You can have it before the dinner. The main meal. So that's I thought potatoes and milk kind of go hand in hand.,1,0,0,0,0,0,1,1,0,0,0,0,0,0
 OK. Thank you. Any other person who wants to react on the question that Mr. Zach asked? Why -- Why is it important to use alternatives of milk? Collins or Christine do you have anything to say?  ,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I think it's important to use the alternative for milk so that you're able to maintain  the initial.  For example you see that some nutrients which are generated by milk (inaudible-audio cutout). So If you use the alternative (inaudible) same as provided by the  milk.  [13.0s]  So your body will lack -- will not lack the nutrients which it was processing before. Using alternatives you retain the nutrients which you are using before by getting them from the milk.,1,0,0,0,0,0,1,1,0,0,0,0,0,0
 And also protein. I understand Maybe I don't I'm not sure. But I guess biologically during warm climate we tend to use a lot of energy compared to cold climate. So I thought having a broad alternative apart from milk another protein food would be advisable because you know of the energy and the body building. Yeah.,1,0,0,0,0,0,1,1,0,0,0,0,0,0
 I wanted to add on...,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Oh sorry. I wanted to add onto...,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ...about how food can be affected because of climate change and having alternatives for milk can be very useful because of cows are where you get milk from. It can have can be negatively affected by the extreme climate changes the weather patterns like the rise in carbon emissions which can affect their health which in turn makes the milk bad for you to drink. But if we have other alternative choices we can we can still get the nutrition nutrients we wanted. But it's gonna be from some other source where it's healthier than cows or goats or any others.,1,0,0,0,0,0,1,1,0,0,0,0,0,0
 Thank you Jennifer.  So we have another question from Zach. He's asking how does carbon emissions affect climate change? Any reactions? How does carbon emissions affect climate change?,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 I think when carbon are emitted in the atmosphere  [00:25:26]fastly they can interfere with the ozone which in turn enables the sun rays to penetrate more  [0.0s] into the atmosphere. So when they penetrate more fast into the atmosphere they bring about desertification which may affect some of the productivity of the land. So this might affect even the milk in the sense that there'll be no food for the cows as the production of the milk will go down.,1,0,0,0,0,0,1,1,0,0,0,0,0,0
 And also for the more this indirect effect of the carbon emission we'll see that that might cause acid rain. So the acid rain will alter the normal growth of the vegetation by which the desertification or the encroachment of the desert will enlarge. So in that case it might cause the hot climate to you know it would be unfavorable for the cows to produce the milk. So that's how I think carbon emission affects climate change.,1,0,0,0,0,0,1,1,0,0,0,0,0,0
  Carbon emission can also cause global warming as we all know. The effects of global warming therefore affecting the... the climate.  Yeah and the atmosphere.,1,0,0,0,0,0,1,0,0,0,0,0,0,0
 For me again it has a lot to do with dependency cow breeding is a major part of the emission of greenhouse gases and when they emit they stay in the lower atmosphere causing the earth to heat up and the energy balance of the earth to become unstable. And so when that happens the like like we said the agriculture the climate the environment will change drastically. And that can affect a lot of the livestock the plants and the animals.,1,0,0,0,0,0,1,1,0,0,0,0,0,0
 Thank you Vicente.  Anyone else wants to give uh?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Victor you have something to say?,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 Greenhouse gases increases the chance of um of the temperature increasing. It increases chances of having wildfires and droughts and tropical storms at other places which in turn endangers us humans when we don't have supplies to water because of carbon emissions.,1,0,0,0,0,0,0,1,0,0,0,0,0,0
" To add on to what Vincent said when the carbon are emmitted into the atmosphere they require Oxygen from a carbon (inaudible) forms the blankets
beneath the atmosphere which enables the sun rays ability to get into the atmosphere but they did become unable to go back. So this is when the sun rays (inaudible) they cause a
warming effect which is so the heat is retaining (inaudible) which is unable to escape.",1,0,0,0,0,0,1,1,1,0,0,0,0,0
 So about the question what are the greenhouse gases? I know of one which is chlorofluorocarbons which is in short form CFC. So I know that one.,1,0,0,0,0,0,0,0,0,0,0,1,0,0
 So we know of those two as for now so chlorofluorocarbon and methane. So I guess for the chlorofluorocarbon I guess it works almost the same way as the carbon which is released into the atomosphere which  global warming desertification and the altering of the ozone layer. Yeah.,1,0,0,0,0,0,0,1,0,0,0,0,0,0
 And I have a question. So what are the natural causes of climate change? Apart from the greenhouse effects?,1,0,0,0,0,0,0,0,0,0,0,1,0,0
 According to - okay Veera asked about the greenhouse gases related to cows and uh...I think there is no direct effect of the gases to the cows. Apart from inhalation so probably most of them are indirect. That's including the carbon emission and chlorofluorocarbons and the methane so all of them will affect the cows indirectly but there is no immediate direct effect. Apart from inhalation of the gases. So the toxic gases which are released probably when the ranch is near an industry so that's when they may inhale just the same way as two humans. Then we may be affected and their production will be it will be really low. Yeah.,1,0,0,0,0,0,0,1,0,0,0,0,0,0
 Wait are you arguing that cows have no direct effect on carbon emissions and climate change? Is that what you are arguing?,1,0,0,0,0,0,0,0,0,0,0,1,0,0
 OK. We are trying to say that any external gas from the atmosphere does not affect the cow.  But we understand that the cow releases up to about 70 to 120 KGs of methane which are released into the environment. They might also cause they have a negative effect to the environment. So the cow releases the methane but now there's uh... Through the cow dung. So the cow dung it has the methane. But any other external gas from the atmosphere I think doesn't affect the cow directly.,1,0,0,0,0,0,1,1,0,0,0,0,0,0
 Hi. I had a question for Toivo actually. So Toivo mentioned that he is now living in the northernmost city in the world. Just wondering how do you think there has been any effect of climate change in the area that you're residing or living in?,1,0,1,0,0,0,0,0,0,0,0,1,0,0
 Yeah actually it's.. Every summer it's a little bit warmer like this summer. It was I think the most was 14 degrees in Celsius. And that's a lot. And for example the ocean which is right in front of the city hasn't been frozen in 10 years. And before that it was always frozen by the time of winter. And and it seems that the snow is coming every year a little bit later. And you can really see the effects of climate change by just looking at the glaciers that are like the closest one to the cities just about 10 kilometers from the city. And it has really been just shrinking out from the city and all of the glaciers and stuff is just - if you want photos from 20 years or 10 years ago it's really a huge change.,1,0,0,0,0,0,1,0,0,0,0,0,0,0
 Yeah you can see same kind of changes in Finland actually. Like it's minus 7 degrees outside right now and it's unusual of this time of year. Like the winters are going to be longer but not as cold. And there's not like there's not been as much snow as I remember in my childhood.  Like last year the snow was - it wasn't in place that many days. And there was this like colder season came like as early I think. But it came again like near spring and it was actually snowing in spring. And it was quite scary I think cause you can actually see the changes like through your own eyes. You can actually see that yeah there's snow as there is not as much snow and the colder weather and there are so many like the like summers are kinda warmer I think but they are... There's been more raining and everything like that. So I was wondering if it's the same around world. Cause like I said I can like totally agree. You get to see those kind of things. But I don't know if you're in Africa. If you can see that kind of changes because I've never been there or especially lived there.,1,0,0,0,0,1,1,0,0,0,0,1,0,0
 I'm very sorry to interrupt but since I have to leave first class now I just wanted to say thank you for coming to the meeting and it was nice meeting all of you and I'm excited to work with all of you. Bye.  (waves goodbye).,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 Oh to add on the question just about the natural cause of climate change we all know that climate change is caused by activity which are being carried out inside the atmosphere (cuts out). Apart from that their activities of your car outside the (cuts out). For example there are times where the earth is closer to the sun. This is a vast auditorium hellion period. When the sun is closer to the earth or the axis closer to the earth. The earth receive more temperature than any other period.  temperature in the earth  in the climate. So this is another external factor that causes climate change which is natural.,1,0,0,0,0,0,0,1,1,0,0,0,0,0
 So and also natural causes are there is volcanicity. So volcanicity is when you know the lava moves from the magma moves from the interior of the earth onto the earth's surface and in that way emits some gases. So the gases are - that's when maybe it may you know because it's hot so it alters the normal temperature. And in that way it may cause the climate change in an area.,1,0,0,0,0,0,0,1,0,0,0,0,0,0
 And maybe to ask -  now what are the effects of the climate change the effects of climate change.,1,0,0,0,0,0,0,0,0,0,0,1,0,0
 I think the effects are different wherever you are like if you are in Finland you see different kinds of effects than you see in America. Cause like um climates like the rivers and oceans and stuff that changes climates. And so for example when usually you talk about climate change that the effects of climate change you think about certain areas. But overall things are that where it's dry it's going to be drier and worse. Like uh hot it's going to be like even warmer. So that kind of changes are like scientific facts that have been like written that yeah there are kinds of rules but there are not really rules. It's different from place to place. And I think that's the thing that sucks the most kinda cause you can't like you can't see five years for future. You can't see that what kind of changes are. You can just guess. And the most educated guess is the one that we are like given so we don't see that. Well in Finland you can see kind of like the discussion like what would be that much. You again see these. Yeah. There are like five things you need to know about climate change. You can see these professionally written articles and I think that would be like more important cause you don't know - there are too many variables to consider. So yeah.,1,0,0,0,0,1,1,0,0,0,0,0,0,0
 OK. Yeah I think we we lost Eunice there. Yeah that's a great point. Let's see. Yes. And we. I'm looking at the chat window here and there was a question about is there a difference between weather and climate? And Vincente had a response. Weather describes day to day state while climate describes overall atmospheric state throughout a period of time. Did any other people have thoughts on this? The difference between weather and climate.,1,0,0,0,0,0,0,0,0,0,0,1,0,0
 Yeah. What Vicente is saying is actually the truth. But what I like to add on is that weather is normally determined day to day daily. But as for climate it is still usually determined within our long period of time that is maybe 30 to 35 years. Let me give us an example. Between the two.,1,0,0,0,0,0,1,1,1,0,0,0,0,0
 So for example in Kenya the climate is warm. That was established over a long period of time for about 35 years. But now as for the weather right now it's hot. So hot that's weather. It's what is the weather for today. So it's not - it does not take in a long period of time just over a short period of time. That's when you determine the weather. But as for climate over a long period of time. So maybe tomorrow the weather might be rainy. So that's weather. So the difference is that is the time taken. So. (audio cuts out),1,0,0,0,0,1,1,1,0,0,0,0,0,0
 Yeah OK. I think we lost your audio there for for a moment Lameck.  But yeah. Thank you for that. Any other thoughts perhaps?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 I have a question. So do you guys believe that climate change has a psychological effect on all of us? And if so how?,1,0,0,0,0,0,0,0,0,0,0,1,0,0
 Do you mean as in terms of mood? Or as in terms of like mental health?,1,0,0,0,0,0,0,0,0,0,0,1,0,0
 (cuts out) it could be both. So wherever it fits.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 I don't know. I mean I live in Las Vegas so whenever it gets hotter here I'm always a bit like lazy I guess. A bit tired more tired because of the heat.  ,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 Um about the psychological effect of climate change abrupt climate change might alter the normal functioning of the brain. So in one way is the anxiety and you know the tension. For instance if we have cold climate then so a new climate has been established. And in that way for example glacier forms during cold times. And in that we probably only see the movement of glacier that may cause the tension. And also you know the encroachment of and decertification. It might also cause you know the tension and anxiety and all that. Also probably global warming. And you know also the way that the emission of the emission of the gases the toxic gases might really affect your brain. For instance chlorofluorocarbons might affect your brain in a way that (cuts out)  like uh literally eating up your brain and this - You might end up you know having a sort of short term memory. And also it might lead to many many problems which are like psychological.  ,1,0,0,0,0,0,1,1,0,0,0,0,0,0
